id,url,name
0,https://offer0.com,Offer - 0
1,https://offer1.com,Offer - 1
2,https://offer2.com,Offer - 2
3,https://offer3.com,Offer - 3
4,https://offer4.com,Offer - 4
5,https://offer5.com,Offer - 5
6,https://offer6.com,Offer - 6
7,https://offer7.com,Offer - 7
8,https://offer8.com,Offer - 8
9,https://offer9.com,Offer - 9
10,https://offer10.com,Offer - 10
11,https://offer11.com,Offer - 11
12,https://offer12.com,Offer - 12
13,https://offer13.com,Offer - 13
14,https://offer14.com,Offer - 14
15,https://offer15.com,Offer - 15
16,https://offer16.com,Offer - 16
17,https://offer17.com,Offer - 17
18,https://offer18.com,Offer - 18
19,https://offer19.com,Offer - 19
20,https://offer20.com,Offer - 20
21,https://offer21.com,Offer - 21
22,https://offer22.com,Offer - 22
23,https://offer23.com,Offer - 23
24,https://offer24.com,Offer - 24
25,https://offer25.com,Offer - 25
26,https://offer26.com,Offer - 26
27,https://offer27.com,Offer - 27
28,https://offer28.com,Offer - 28
29,https://offer29.com,Offer - 29
30,https://offer30.com,Offer - 30
31,https://offer31.com,Offer - 31
32,https://offer32.com,Offer - 32
33,https://offer33.com,Offer - 33
34,https://offer34.com,Offer - 34
35,https://offer35.com,Offer - 35
36,https://offer36.com,Offer - 36
37,https://offer37.com,Offer - 37
38,https://offer38.com,Offer - 38
39,https://offer39.com,Offer - 39
40,https://offer40.com,Offer - 40
41,https://offer41.com,Offer - 41
42,https://offer42.com,Offer - 42
43,https://offer43.com,Offer - 43
44,https://offer44.com,Offer - 44
45,https://offer45.com,Offer - 45
46,https://offer46.com,Offer - 46
47,https://offer47.com,Offer - 47
48,https://offer48.com,Offer - 48
49,https://offer49.com,Offer - 49
50,https://offer50.com,Offer - 50
51,https://offer51.com,Offer - 51
52,https://offer52.com,Offer - 52
53,https://offer53.com,Offer - 53
54,https://offer54.com,Offer - 54
55,https://offer55.com,Offer - 55
56,https://offer56.com,Offer - 56
57,https://offer57.com,Offer - 57
58,https://offer58.com,Offer - 58
59,https://offer59.com,Offer - 59
60,https://offer60.com,Offer - 60
61,https://offer61.com,Offer - 61
62,https://offer62.com,Offer - 62
63,https://offer63.com,Offer - 63
64,https://offer64.com,Offer - 64
65,https://offer65.com,Offer - 65
66,https://offer66.com,Offer - 66
67,https://offer67.com,Offer - 67
68,https://offer68.com,Offer - 68
69,https://offer69.com,Offer - 69
70,https://offer70.com,Offer - 70
71,https://offer71.com,Offer - 71
72,https://offer72.com,Offer - 72
73,https://offer73.com,Offer - 73
74,https://offer74.com,Offer - 74
75,https://offer75.com,Offer - 75
76,https://offer76.com,Offer - 76
77,https://offer77.com,Offer - 77
78,https://offer78.com,Offer - 78
79,https://offer79.com,Offer - 79
80,https://offer80.com,Offer - 80
85,https://offer85.com,Offer - 85
91,https://offer91.com,Offer - 91
